record_id,namexrelstatus,namexrellength,satisfaction,dem1,gender1,dem2,dem3,sexuality1,friend1,friend2,friend3,friend4,friend5,friend6,friend7,friend8,friend9,friend10,friend11,friend12,friend13,friend14,friend15,friend16,friend17,friend18,friend19,friend20,friend21,friend22,friend23,avoidance1,anxiety1,avoidance2,avoidance2R,anxiety2,avoidance3,anxiety3,avoidance4,anxiety4,avoidance5,anxiety5,avoidance6,anxiety6,avoidance7,anxiety7,avoidance8,avoidance8R,anxiety8,avoidance9,anxiety9,avoidance10,avoidance10R,anxiety10,avoidance11,anxiety11,anxiety11R,avoidance12,anxiety12,avoidance13,avoidance13R,anxiety13,avoidance14,avoidance14R,anxiety14,avoidance15,avoidance15R,anxiety15,avoidance16,avoidance16R,anxiety16,avoidance17,avoidance17R,anxiety17,avoidance18,avoidance18R,anxiety18,love_languages_1,love_languages_2,love_languages_3,love_languages_4,love_languages_5,love_languages_6,love_languages_7,love_languages_8,love_languages_9,love_languages_10,love_languages_11,love_languages_12,love_languages_13,love_languages_14,love_languages_15,love_languages_16,love_languages_17,love_languages_18,love_languages_19,love_languages_20,love_languages_21,love_languages_22,love_languages_23,love_languages_24,love_languages_25,love_languages_26,love_languages_27,love_languages_28,love_languages_29,love_languages_30,LL_A_1,LL_B_1,LL_C_1,LL_D_1,LL_E_1,person1_survey_complete,firstnamerelstatus_v2,firstnamerellength_v2,satisfaction_v2,dem1_v2,gender1_v2,dem2_v2,dem3_v2,sexuality1_v2,friend1_v2,friend2_v2,friend3_v2,friend4_v2,friend5_v2,friend6_v2,friend7_v2,friend8_v2,friend9_v2,friend10_v2,friend11_v2,friend12_v2,friend13_v2,friend14_v2,friend15_v2,friend16_v2,friend17_v2,friend18_v2,friend19_v2,friend20_v2,friend21_v2,friend22_v2,friend23_v2,avoidance1_v2,anxiety1_v2,avoidance2_v2,avoidance2_v2R,anxiety2_v2,avoidance3_v2,anxiety3_v2,avoidance4_v2,anxiety4_v2,avoidance5_v2,anxiety5_v2,avoidance6_v2,anxiety6_v2,avoidance7_v2,anxiety7_v2,avoidance8_v2,avoidance8_v2R,anxiety8_v2,avoidance9_v2,anxiety9_v2,avoidance10_v2,avoidance10_v2R,anxiety10_v2,avoidance11_v2,anxiety11_v2,anxiety11_v2R,avoidance12_v2,anxiety12_v2,avoidance13_v2,avoidance13_v2R,anxiety13_v2,avoidance14_v2,avoidance14_v2R,anxiety14_v2,avoidance15_v2,avoidance15_v2R,anxiety15_v2,avoidance16_v2,avoidance16_v2R,anxiety16_v2,avoidance17_v2,avoidance17_v2R,anxiety17_v2,avoidance18_v2,avoidance18_v2R,anxiety18_v2,love_languages_1_v2,love_languages_2_v2,love_languages_3_v2,love_languages_4_v2,love_languages_5_v2,love_languages_6_v2,love_languages_7_v2,love_languages_8_v2,love_languages_9_v2,love_languages_10_v2,love_languages_11_v2,love_languages_12_v2,love_languages_13_v2,love_languages_14_v2,love_languages_15_v2,love_languages_16_v2,love_languages_17_v2,love_languages_18_v2,love_languages_19_v2,love_languages_20_v2,love_languages_21_v2,love_languages_22_v2,love_languages_23_v2,love_languages_24_v2,love_languages_25_v2,love_languages_26_v2,love_languages_27_v2,love_languages_28_v2,love_languages_29_v2,love_languages_30_vA,LL_A_2,LL_B_2,LL_C_2,LL_D_2,LL_E_2,friend_companionship_score_1,friend_conflict_score_1,friend_closeness_1,friend_help_1,friend_total_1,friend_companionship_score_2,friend_conflict_score_2,friend_closeness_2,friend_help_2,friend_total_2,love_languages_total_1,love_languages_total_2,avoidance_score_1,anxiety_score_1,avoidance_score_2,anxiety_score_2
24,2,3,65,2,,18,1,,4,5,2,3,4,2,4,3,3,2,5,4,3,4,1,4,4,3,3,3,2,3,1,4,2,6,2,2,2,2,4,2,2,4,4,4,4,2,4,4,4,4,2,4,4,2,4,5,3,4,4,5,3,4,,8,4,5,3,4,5,3,5,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,3,,2,,18,1,,4,5,3,4,4,4,4,3,4,3,5,5,4,3,3,4,5,3,3,3,3,1,1,4,4,5,3,1,1,4,4,2,3,2,2,4,1,4,5,3,4,4,2,4,4,3,2,2,6,3,1,6,2,4,6,2,2,5,3,4,2,6,3,3,5,2,2,6,2,A,B,B,D,C,B,,,,,B,,,,,,,,,,,,,,,,,,,,1,4,1,1,0,3.75,4.25,2.2,2.6,3.130434783,4.25,4.75,2.8,3.2,3.52173913,,,3.722222222,3.222222222,3.222222222,3
26,2,1,100,1,,19,1,,3,4,5,5,5,3,5,5,5,5,4,1,5,1,2,5,1,2,5,5,5,5,5,2,1,2,6,1,1,1,2,2,1,2,2,2,2,1,2,6,1,2,1,7,1,1,1,1,7,2,1,7,1,2,7,1,1,4,4,1,7,1,1,4,4,1,6,2,1,,B,,,,B,,,B,,,,,,,,,,,,,,,,,,,,,,0,3,0,0,0,2,2,1,99,2,,18,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,1,7,7,1,7,1,1,1,4,1,1,1,1,1,7,7,1,1,1,1,7,1,1,1,1,7,1,1,7,1,1,7,1,4,7,1,7,7,1,7,7,1,7,7,1,7,E,D,B,D,C,B,A,E,B,D,B,D,A,B,A,B,D,A,D,D,B,A,D,B,B,C,A,C,A,A,8,9,3,8,2,3.75,2.75,4.4,4.4,3.956521739,5,4,5,5,4.652173913,,B,2.277777778,1.555555556,1,4
27,1,2,98,2,,19,1,,4,4,5,5,5,5,4,5,5,5,4,3,5,4,5,5,3,,4,5,5,4,5,3,4,7,1,2,2,2,2,2,2,2,2,2,2,2,7,1,2,2,2,7,1,2,2,7,1,2,2,7,1,2,7,1,2,7,1,5,7,1,2,7,1,7,7,1,2,E,B,B,D,E,B,A,E,B,D,B,E,A,B,D,B,D,A,D,D,B,A,D,B,B,E,A,E,A,E,6,10,0,7,7,2,1,2,99,2,,19,1,,4,4,5,5,5,5,4,5,5,5,5,4,5,3,4,5,2,5,3,5,5,5,5,5,2,7,1,2,2,4,1,7,1,2,2,1,1,2,7,1,1,1,6,7,1,3,5,5,3,1,6,7,1,1,7,1,3,6,2,6,7,1,4,7,1,5,6,2,1,E,B,B,D,E,B,A,A,B,D,B,D,A,B,A,E,D,B,D,D,B,C,C,C,B,E,B,E,D,E,4,10,3,7,6,4.5,3.5,5,5,4.5,4.75,3.5,4.8,5,4.47826087,B,B,1.555555556,2.5,1.666666667,3.277777778
28,1,1,100,2,,20,1,,4,2,5,5,5,4,1,5,5,5,3,1,5,1,5,5,2,4,5,5,5,5,5,1,1,7,1,2,2,1,1,1,1,1,1,2,1,2,7,1,2,2,1,7,1,2,1,6,2,1,1,7,1,1,7,1,1,7,1,2,7,1,1,6,2,2,7,1,1,E,B,B,E,E,B,A,E,B,D,B,D,C,B,A,B,D,B,D,D,B,A,D,C,D,E,A,E,A,E,5,9,2,7,7,2,1,1,100,1,,22,1,,4,4,4,4,5,5,1,4,4,5,3,1,5,1,5,5,2,5,4,4,5,5,5,1,2,6,2,5,5,4,5,3,1,4,5,4,5,7,7,1,4,5,,6,2,5,6,5,3,3,1,6,2,1,6,2,1,4,4,5,6,2,2,5,3,4,5,3,1,E,B,B,D,E,B,A,E,B,A,B,E,A,E,A,E,D,B,E,D,B,A,D,C,B,E,A,E,A,A,8,8,1,4,9,4,1.5,5,4.8,4,4.25,2,4.8,4.6,3.913043478,B,E,1.166666667,1.444444444,3.166666667,3.294117647
31,2,1,95,2,,19,1,,4,2,4,4,4,4,2,4,4,4,4,1,4,1,4,4,1,4,4,4,4,4,4,2,5,7,1,6,3,5,2,5,2,4,4,5,5,5,6,2,5,4,5,4,4,5,4,3,5,3,3,6,2,2,6,2,3,5,3,4,6,2,4,6,2,4,6,2,3,E,B,B,D,E,B,A,E,B,A,B,D,A,B,A,B,D,B,D,D,B,C,C,B,B,C,A,C,A,A,7,11,4,5,3,2,2,1,100,2,,20,1,,4,2,5,5,5,5,2,4,5,5,5,1,5,1,4,5,1,5,5,5,5,5,5,2,2,7,1,2,2,2,2,3,2,2,2,2,2,2,6,2,2,2,3,6,2,1,2,5,3,2,2,6,2,2,6,2,1,6,2,2,6,2,5,6,2,1,6,2,1,A,B,B,D,C,B,A,E,B,D,A,E,C,B,A,B,D,B,E,D,B,A,D,B,B,C,A,C,A,A,8,10,4,5,3,4,1.5,4,4,3.434782609,4.75,1.5,4.8,4.8,4.086956522,B,B,2.722222222,4.333333333,1.944444444,2.111111111
33,2,2,61,2,,20,1,,4,1,3,5,5,4,4,5,4,4,5,2,5,2,4,4,2,5,4,5,5,5,4,3,2,6,2,3,1,5,2,4,2,5,2,2,2,3,7,1,2,2,1,7,1,5,5,4,4,2,5,7,1,5,6,2,5,6,2,2,6,2,3,6,2,5,6,2,3,A,B,B,D,C,B,A,A,B,A,B,D,A,B,D,B,D,B,D,D,B,C,D,B,D,C,B,C,D,A,6,11,4,9,0,2,2,2,100,2,,20,1,,5,4,5,5,5,5,2,5,5,5,5,2,5,1,4,5,2,5,4,5,5,4,5,1,6,7,1,6,2,4,1,5,1,4,1,2,1,6,7,1,1,1,6,7,1,2,1,3,5,1,4,7,1,4,7,1,4,7,1,6,7,1,6,7,1,5,7,1,3,E,B,C,D,E,E,A,E,B,A,B,D,C,B,A,B,D,B,D,D,B,C,D,B,D,C,A,C,A,E,5,8,5,7,5,4.25,2.25,4.4,4.6,3.956521739,5,2.5,4.8,5,4.260869565,B,B,2,3.555555556,1.055555556,4.388888889
35,2,1,98,2,,18,1,,2,3,5,5,5,4,2,5,5,5,4,2,,2,3,3,2,4,5,5,5,5,4,2,1,7,1,3,1,1,1,1,1,1,1,1,1,3,1,7,1,1,2,7,1,2,1,1,7,1,1,7,1,1,7,1,1,7,1,5,7,1,1,1,7,1,7,1,2,E,D,C,D,C,B,A,E,B,A,A,E,C,B,D,B,D,B,D,D,D,A,D,B,D,C,A,C,D,A,6,6,5,10,3,2,2,1,100,2,,19,1,,2,3,5,4,3,4,3,5,4,3,2,3,4,1,3,5,2,3,3,3,4,5,4,2,1,6,2,3,1,2,1,1,1,1,1,1,1,3,6,2,1,1,1,4,4,1,1,1,7,1,1,6,2,1,6,2,1,4,4,5,6,2,3,5,3,1,4,4,2,E,D,C,D,C,B,A,E,B,A,A,E,C,B,D,B,C,B,D,D,D,C,D,B,D,C,A,C,D,A,5,6,7,9,3,3.25,2.25,4.4,4.75,3.863636364,3.25,2.75,3.2,4.2,3.391304348,D,D,1.722222222,1.944444444,1.944444444,2
36,2,3,80,2,,18,1,,3,4,1,5,5,2,5,4,5,4,5,5,5,2,5,5,5,5,4,4,5,5,3,1,2,7,1,2,1,5,1,6,1,5,1,1,1,6,7,1,2,1,1,7,1,5,7,2,6,1,2,7,1,1,7,1,5,2,6,2,7,1,7,6,2,7,7,1,4,E,D,B,D,C,B,A,A,B,A,B,D,A,B,D,B,D,B,D,D,D,A,D,B,D,C,A,C,D,A,7,8,3,11,1,2,2,3,72,2,,17,1,,3,5,5,5,5,4,5,5,5,5,5,4,5,4,4,5,4,5,5,5,5,5,5,1,3,7,1,4,1,1,1,7,7,1,1,1,1,4,7,1,3,1,1,7,1,1,1,4,4,1,3,7,1,1,7,1,4,7,1,1,7,1,5,6,2,1,7,1,2,A,B,C,D,C,B,A,E,B,D,B,D,C,B,A,B,D,A,D,D,B,A,D,B,B,C,B,C,D,A,6,10,5,8,1,3.75,4.75,4.2,4,4.173913043,4.25,4.5,4.8,5,4.695652174,D,B,1.666666667,3.833333333,1.388888889,2.611111111
47,2,3,100,1,,20,1,,4,3,5,5,5,5,3,5,5,5,3,1,,2,3,5,4,5,5,5,5,5,3,1,1,5,3,1,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,7,1,1,1,7,1,1,1,6,2,1,7,1,1,7,1,1,7,1,1,5,3,6,6,2,1,A,B,B,D,C,B,A,E,B,D,B,D,A,B,D,B,D,B,D,D,B,A,D,B,D,C,A,C,D,A,6,10,3,10,1,2,2,3,75,2,,22,1,,3,2,4,5,5,4,3,5,5,5,2,1,5,1,4,3,1,5,5,5,5,5,2,2,5,7,1,6,1,1,4,5,1,1,1,1,1,6,7,1,2,1,1,7,1,1,1,3,5,1,1,7,1,1,7,1,6,6,2,6,7,1,6,7,1,5,6,2,3,E,B,B,D,C,B,A,E,B,A,B,D,C,B,D,B,D,B,D,D,B,A,D,B,D,C,A,C,A,A,6,10,4,8,2,4.25,2.75,4.2,5,4.136363636,3,1.75,4.2,4.8,3.695652174,B,B,1.333333333,1.611111111,1.333333333,3.444444444
48,1,1,86,4,Bigender,18,4,Abrosexual,5,1,5,5,5,3,4,5,5,5,5,1,5,2,5,4,1,4,5,4,4,5,5,3,6,7,1,7,1,7,1,7,2,7,3,6,1,6,7,1,6,1,6,7,1,6,3,1,7,1,5,7,1,5,7,1,4,7,1,5,7,1,6,6,2,6,7,1,4,E,B,B,E,E,E,A,A,B,A,B,E,A,E,A,E,D,B,D,D,D,A,D,C,D,E,A,E,A,A,9,5,1,6,9,2,1,1,95,1,,19,3,,4,2,5,5,5,5,2,5,5,5,5,1,5,1,5,5,2,5,4,5,5,5,5,2,2,7,1,4,5,1,2,6,3,1,5,4,5,2,6,2,2,1,2,6,2,1,3,6,2,4,2,5,3,1,7,1,1,4,4,2,6,2,1,7,1,4,6,2,1,A,B,B,D,E,B,A,A,B,D,B,D,C,B,A,E,D,B,E,C,B,A,C,B,D,C,A,E,A,E,7,9,4,5,5,4.25,1.75,4.8,4.6,4.043478261,4.75,1.75,5,5,4.173913043,E,B,1.444444444,5.888888889,2.666666667,2.166666667
